column_name,category,data_type,n_unique,n_missing,target_related,leakage_risk,availability_status,contemporaneous_use_at_t,lagged_use,city,weather_family,reasoning
time,identifier,object,35064,0,False,none_if_index_only,known_in_advance,not_a_feature,not_applicable,,,"Timezone-aware clock of hour t. Known for any future hour. Must not be fed as a raw numeric timestamp (would leak ordering / allow trivial time fitting). Legitimate use is as index and as the source of calendar features (hour, weekday, month, DST). Those calendar features are not in the parquet yet and must not be implemented in this audit."
timestamp_utc,identifier,"datetime64[ns, UTC]",35064,0,False,none_if_index_only,known_in_advance,not_a_feature,not_applicable,,,"Timezone-aware clock of hour t. Known for any future hour. Must not be fed as a raw numeric timestamp (would leak ordering / allow trivial time fitting). Legitimate use is as index and as the source of calendar features (hour, weekday, month, DST). Those calendar features are not in the parquet yet and must not be implemented in this audit."
generation biomass,forbidden_leakage,float64,429,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation fossil brown coal/lignite,forbidden_leakage,float64,964,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation fossil coal-derived gas,forbidden_leakage,float64,1,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. Near-constant/zero series: still leakage if used at t; information value is a later selection issue."
generation fossil gas,forbidden_leakage,float64,8304,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation fossil hard coal,forbidden_leakage,float64,7273,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation fossil oil,forbidden_leakage,float64,328,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation fossil oil shale,forbidden_leakage,float64,1,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. Near-constant/zero series: still leakage if used at t; information value is a later selection issue."
generation fossil peat,forbidden_leakage,float64,1,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. Near-constant/zero series: still leakage if used at t; information value is a later selection issue."
generation geothermal,forbidden_leakage,float64,1,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. Near-constant/zero series: still leakage if used at t; information value is a later selection issue."
generation hydro pumped storage consumption,forbidden_leakage,float64,3313,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation hydro run-of-river and poundage,forbidden_leakage,float64,1691,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation hydro water reservoir,forbidden_leakage,float64,7034,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation marine,forbidden_leakage,float64,1,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. Near-constant/zero series: still leakage if used at t; information value is a later selection issue."
generation nuclear,forbidden_leakage,float64,2390,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation other,forbidden_leakage,float64,106,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation other renewable,forbidden_leakage,float64,81,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation solar,forbidden_leakage,float64,5338,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation waste,forbidden_leakage,float64,268,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
generation wind offshore,forbidden_leakage,float64,1,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. Near-constant/zero series: still leakage if used at t; information value is a later selection issue."
generation wind onshore,forbidden_leakage,float64,11471,6,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,"Same-hour realized generation mix. Dispatch and metering occur on the delivery day, after day-ahead clearing. Contemporaneous use is leakage. Historical lags (e.g. t-48, t-168) may be valid later if they predate origin. "
forecast solar day ahead,potentially_valid_day_ahead,float64,5356,0,False,medium,unknown_publication_time_but_named_day_ahead_forecast,potentially_valid,valid,,,"Column name indicates a day-ahead forecast for hour t, not a realized observation at t. REE/TSO day-ahead load and renewable forecasts are typically published before OMIE gate closure. Exact publication timestamp is NOT in this dataset, so status is potential not proven. Do not treat as actuals. If a forecast was revised after clearing, that would be leakage; cannot verify here."
forecast wind onshore day ahead,potentially_valid_day_ahead,float64,11332,0,False,medium,unknown_publication_time_but_named_day_ahead_forecast,potentially_valid,valid,,,"Column name indicates a day-ahead forecast for hour t, not a realized observation at t. REE/TSO day-ahead load and renewable forecasts are typically published before OMIE gate closure. Exact publication timestamp is NOT in this dataset, so status is potential not proven. Do not treat as actuals. If a forecast was revised after clearing, that would be leakage; cannot verify here."
total load forecast,potentially_valid_day_ahead,float64,14790,0,False,medium,unknown_publication_time_but_named_day_ahead_forecast,potentially_valid,valid,,,"Column name indicates a day-ahead forecast for hour t, not a realized observation at t. REE/TSO day-ahead load and renewable forecasts are typically published before OMIE gate closure. Exact publication timestamp is NOT in this dataset, so status is potential not proven. Do not treat as actuals. If a forecast was revised after clearing, that would be leakage; cannot verify here."
total load actual,forbidden_leakage,float64,15139,14,False,high,unavailable_at_forecast_origin,forbidden,potentially_valid_if_observed_before_origin,,,Same-hour realized national demand. Known only after hour t (TSO metering). Using the row-aligned value to predict day-ahead price for t leaks post-auction information. Lags whose timestamps are strictly before forecast origin can be considered later; not this column at t.
price day ahead,target,float64,5747,0,True,critical_if_used_as_same_hour_feature,target_unpublished_before_D-1_auction,forbidden,valid_if_prior_auction_only,,,"This is the modeling target: OMIE day-ahead hourly clearing price for delivery hour t. All 24 hours of delivery day D are cleared in one auction on D-1 (gate typically 12:00 CET). The same-hour value is unknown at forecast origin and must not enter X. Prior-auction lags (t-24, t-48, t-168) are discussed in the audit; they are not this column as stored."
price actual,forbidden_leakage,float64,6653,0,True,critical,unavailable_at_forecast_origin,forbidden,forbidden_by_project_rule,,,"Realized/intraday-style price at delivery hour t. Observed during or after t, after the day-ahead auction. Distinct from price day ahead (not a copy). Project rule: never a feature, including lags."
temp_Barcelona,ambiguous,float64,5296,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Barcelona,temp,"Observed weather field 'temp' at Barcelona for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_Bilbao,ambiguous,float64,8574,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Bilbao,temp,"Observed weather field 'temp' at Bilbao for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_Madrid,ambiguous,float64,7272,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Madrid,temp,"Observed weather field 'temp' at Madrid for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
temp_Seville,ambiguous,float64,7211,0,False,high,unknown_publication_time,do_not_include,potentially_valid_if_observed_before_origin,Seville,temp,"Observed weather field 'temp' at Seville for hour t (not a weather forecast). No issue time exists in the file. Under the chosen boundary (predict D before D starts), actual weather at t is unavailable. Do not include same-hour values. Historical lags with timestamp <= origin minus delay are a later, explicit choice."
