feature,feature_group,classification_strict,classification_assumed,known_at_dam_origin,time_needed,future_leakage_risk,used_by_locked_model,strict_usable,notes
hour,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
day_of_week,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
day_of_month,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
month,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
quarter,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
day_of_year,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
week_of_year,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
is_weekend,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
is_month_start,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
is_month_end,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
is_year_start,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
is_year_end,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
hour_sin,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
hour_cos,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
dow_sin,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
dow_cos,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
month_sin,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
month_cos,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
day_of_year_sin,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
day_of_year_cos,calendar,SAFE,SAFE,yes,calendar of hour t (Europe/Madrid),none,True,True,Deterministic. No observations required.
total_load_forecast,day_ahead_forecast,UNKNOWN,CONDITIONAL,unverified,TSO day-ahead forecast published for hour t,medium,True,False,"Column names say day-ahead, but the file has no publication timestamp. Forecast availability timestamp is not independently verified. STRICT will not use these values from a future row."
forecast_solar_day_ahead,day_ahead_forecast,UNKNOWN,CONDITIONAL,unverified,TSO day-ahead forecast published for hour t,medium,True,False,"Column names say day-ahead, but the file has no publication timestamp. Forecast availability timestamp is not independently verified. STRICT will not use these values from a future row."
forecast_wind_onshore_day_ahead,day_ahead_forecast,UNKNOWN,CONDITIONAL,unverified,TSO day-ahead forecast published for hour t,medium,True,False,"Column names say day-ahead, but the file has no publication timestamp. Forecast availability timestamp is not independently verified. STRICT will not use these values from a future row."
renewable_forecast_total,day_ahead_forecast,UNKNOWN,CONDITIONAL,unverified,TSO day-ahead forecast published for hour t,medium,True,False,"Column names say day-ahead, but the file has no publication timestamp. Forecast availability timestamp is not independently verified. STRICT will not use these values from a future row."
forecast_wind_share_of_load,day_ahead_forecast,UNKNOWN,CONDITIONAL,unverified,TSO day-ahead forecast published for hour t,medium,True,False,"Column names say day-ahead, but the file has no publication timestamp. Forecast availability timestamp is not independently verified. STRICT will not use these values from a future row."
